textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²),Text,Actual_Score,GPT 3.5 Score
54c81c54bf,woke up.,woke up.,neutral,morning,0-20,Latvia,1886198.0,62200.0,30.0,woke .,3,2.0
cbee1946d3,"just got home from a nice party, just not tired yet",,positive,night,31-45,Panama,4314767.0,74340.0,58.0,"got home nice party , tired yet",5,4.0
0ed5907eb4,im up  ..going to work!,im up  ..going to work!,neutral,noon,21-30,Fiji,896445.0,18270.0,49.0,im .. going work !,3,3.0
9260a8a52c,"Brilliant day today, got the car washed and got a washing done! Just have to go to work in an hour","Brilliant day today,",positive,noon,60-70,Costa Rica,5094118.0,51060.0,100.0,"brilliant day today , got car washed got washing done ! go work hour",4,4.0
d4b544abff,left the bases loaded...,,neutral,morning,0-20,Democratic Republic of the Congo,89561403.0,2267050.0,40.0,left bases loaded ...,3,2.0
cc33456895, No flame wars on this weeks episode?,No flame wars on this weeks episode?,neutral,noon,60-70,Saint Kitts and Nevis,53199.0,260.0,205.0,flame wars weeks episode ?,3,2.0
cdd172d6a7,Going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,,positive,noon,60-70,Tunisia,11818619.0,155360.0,76.0,going bed great night friend glad know feelings classes someone else,5,5.0
70237730b5,Officially out of my apt  Learned some stuff about the crazy neighbors that used to live across the hall....scary!,.scary!,negative,night,70-100,Peru,32971854.0,1280000.0,26.0,officially apt learned stuff crazy neighbors used live across hall .... scary !,2,2.0
e77f0321f6,_Morgan_  which 1? There r2 that I love and want to share  i just wish I`d made them-,I love,positive,noon,21-30,Oman,5106626.0,309500.0,16.0,_morgan_ 1 ? r2 love want share wish ` made them-,4,1.0
ecab325607,im back. wooooo!!!  i want to have my own press release :|,im back. wooooo!!!,positive,morning,46-60,Argentina,45195774.0,2736690.0,17.0,im back . wooooo ! ! ! want press release : |,5,2.0
fbf5fbf656,Weather sucks!!... It`s raining again!!,Weather sucks!!...,negative,noon,60-70,Colombia,50882891.0,1109500.0,46.0,weather sucks ! ! ... ` raining ! !,2,1.0
9ccfba38b5, Ozzy isn`t following you yet,Ozzy isn`t following you yet,neutral,noon,60-70,Cameroon,26545863.0,472710.0,56.0,ozzy ` following yet,3,3.0
092a563502,"Ha **** im ready.  but **** that ****, i cant believe she had the balls to call me. Haha Wtf!","Ha **** im ready.  but **** that ****, i cant believe she had the balls to call me. Haha Wtf!",neutral,noon,60-70,Samoa,198414.0,2830.0,70.0,"ha * * * * im ready . * * * * * * * * , cant believe balls call . haha wtf !",3,2.0
35935a04ac,RB  vi...t.y both  ? http://blip.fm/~5jfu9,RB  vi...t.y both  ? http://blip.fm/~5jfu9,neutral,noon,21-30,Tanzania,59734218.0,885800.0,67.0,rb vi ... t.y ? http : //blip.fm/~5jfu9,3,1.0
69d00851e1," we always miss each other, don`t we?",miss,negative,morning,46-60,Mali,20250833.0,1220190.0,17.0,"always miss , ` ?",2,2.0
4f2fa3e4f3, or _ohh i think one of you should give a ride! please?,or _ohh i think one of you should give a ride! please?,neutral,morning,0-20,Bahrain,1701575.0,760.0,2239.0,_ohh think one give ride ! please ?,3,2.0
b4fa2d20e4,  Good one,Good one,positive,night,70-100,Belize,397628.0,22810.0,17.0,good one,4,5.0
08479f6d59,Youtube is made of fail right now. Or maybe it`s just me that it hates.,Youtube is made of fail right now.,negative,night,31-45,Tonga,105695.0,720.0,147.0,youtube made fail right . maybe ` hates .,1,1.0
a12591f04b,Off for a bit of a motorcycle trip today!,Off for a bit of a motorcycle trip today!,neutral,morning,46-60,France,65273511.0,547557.0,119.0,bit motorcycle trip today !,3,5.0
7b08c6091a,"_stiller They sure DO. More than 40,000 to boot!","_stiller They sure DO. More than 40,000 to boot!",neutral,morning,0-20,Ukraine,43733762.0,579320.0,75.0,"_stiller sure . 40,000 boot !",3,1.0
05a786586b," in fact apparently I was your first follower, 4 before M himself. Um. *embarrassed now*","in fact apparently I was your first follower, 4 before M himself. Um. *embarrassed now*",neutral,night,70-100,Iraq,40222493.0,434320.0,93.0,"fact apparently first follower , 4 . um . * embarrassed *",3,2.0
780c673bca,going out for the good ol` `soak` tonight for a mothers day feed.       in love more then ever,ing,positive,morning,0-20,Ethiopia,114963588.0,1000000.0,115.0,going good ol ` ` soak ` tonight mothers day feed . love ever,4,5.0
23b847869b,jus skinned my knee. Wat am i 6!?!?! Hurts lyke hell tho. Its always tha little ones that hurt tha most.,Hurts,negative,night,70-100,Russia,145934462.0,16376870.0,9.0,jus skinned knee . wat 6 ! ? ! ? ! hurts lyke hell tho . always tha little ones hurt tha .,2,2.0
f0c8b96db8,Sittin through this boring **** conference call... Then i get to go home n nap *{missin  alot  }*,boring,negative,noon,21-30,Denmark,5792202.0,42430.0,137.0,sittin boring * * * * conference call ... get go home n nap * { missin alot } *,1,2.0
893c270d85,im bored.. RC is goin maintenance,bored..,negative,noon,60-70,Estonia,1326535.0,42390.0,31.0,im bored .. rc goin maintenance,2,2.0
287b149e5b,"Exchange story gone, yaaaay! On with Sweet Charity","Exchange story gone, yaaaay! On with Sweet Charity",neutral,night,70-100,Chile,19116201.0,743532.0,26.0,"exchange story gone , yaaaay ! sweet charity",3,4.0
cd42a29bff,Oh no one minute too late! Oh well,Oh no one minute too late! Oh well,neutral,night,70-100,North Macedonia,2083374.0,25220.0,83.0,oh one minute late ! oh well,3,2.0
4a4c6608ec,going to funeral today for friend and classmate who died in a car wreck last Friday,who died in a car wreck last Friday,negative,noon,60-70,Luxembourg,625978.0,2590.0,242.0,going funeral today friend classmate died car wreck last friday,2,1.0
02f422cb06,is excited for tonight`s party of ron  http://plurk.com/p/sujth,excited,positive,night,31-45,Honduras,9904607.0,111890.0,89.0,excited tonight ` party ron http : //plurk.com/p/sujth,5,5.0
d61e003759, what? whyyyy?,what? whyyyy?,neutral,noon,21-30,Fiji,896445.0,18270.0,49.0,? whyyyy ?,3,1.0
137748f144,BIG NEWS?! But I don`t know if I can share it.,BIG NEWS?! But I don`t know if I can share it.,neutral,morning,0-20,Jamaica,2961167.0,10830.0,273.0,big news ? ! ` know share .,3,2.0
c521d2ac75, That just means you were not trying hard enought,That just means you were not trying hard enought,negative,morning,0-20,Egypt,102334404.0,995450.0,103.0,means trying hard enought,1,3.0
e213be6eeb,"dear  a)stop snoring and b) move from the middle of the bed, please.","dear  a)stop snoring and b) move from the middle of the bed, please.",neutral,noon,21-30,Mauritius,1271768.0,2030.0,626.0,"dear ) stop snoring b ) move middle bed , please .",3,2.0
8fdd3aa22f,loves it when mom and dad come to visit! nothin better,loves it when mom and dad come to visit! nothin better,neutral,night,70-100,Senegal,16743927.0,192530.0,87.0,loves mom dad come visit ! nothin better,3,5.0
1d450fad81,"Had an interesting evening amongst homeless people in Venice Beach last night, wishing I had my camera with me........ and model releases",interesting,positive,night,31-45,Guyana,786552.0,196850.0,4.0,"interesting evening amongst homeless people venice beach last night , wishing camera ........ model releases",5,3.0
854337eee0,"i want my WOOSOO like now plz  i gant wait, knowing she`s so close is driveing me NUTTS","i want my WOOSOO like now plz  i gant wait, knowing she`s so close is driveing me NUTTS",neutral,noon,60-70,Holy See,801.0,0.0,2003.0,"want woosoo like plz gant wait , knowing ` close driveing nutts",3,1.0
22d7ee60ad, boo  you can come over and we`ll watch telenovelas and braid each others hair.,boo  you can come over and we`ll watch telenovelas and braid each others hair.,neutral,morning,46-60,Burundi,11890784.0,25680.0,463.0,boo come ` watch telenovelas braid others hair .,3,2.0
9179d1c84f,Claude Debussy is my homeboy,Claude Debussy is my homeboy,neutral,night,31-45,Jordan,10203134.0,88780.0,115.0,claude debussy homeboy,3,3.0
72bd41a87e," hahaha this is super late, but thank you!!","hahaha this is super late, but thank you!!",neutral,noon,60-70,Nepal,29136808.0,143350.0,203.0,"hahaha super late , thank ! !",3,4.0
c931ae84d0, Go log in to your myspace page.,Go log in to your myspace page.,neutral,morning,46-60,Andorra,77265.0,470.0,164.0,go log myspace page .,3,1.0
69d6b5d93e, .. and you`re on twitter! Did the tavern bore you that much?,,neutral,morning,0-20,Bahrain,1701575.0,760.0,2239.0,.. ` twitter ! tavern bore much ?,3,1.0
0654536ed4, Wow  That had to be difficult,Wow  That had to be difficult,negative,night,70-100,Sierra Leone,7976983.0,72180.0,111.0,wow difficult,1,2.0
5f10e6f054,_Jolene Try 90 4 next 3 days!  :O  Yuk!    lol  n e thing poppin` @ SN?,_Jolene Try 90 4 next 3 days!  :O  Yuk!    lol  n e thing poppin` @,neutral,noon,60-70,Nicaragua,6624554.0,120340.0,55.0,_jolene try 90 4 next 3 days ! : yuk ! lol n e thing poppin ` @ sn ?,3,2.0
856c445b1e,may the 4th be with you! HAPPY STAR WARS DAY!,HAPPY,positive,night,31-45,Croatia,4105267.0,55960.0,73.0,may 4th ! happy star wars day !,4,5.0
65a3a7d925,this is for   http://tinyurl.com/d8fgxr,this is for,neutral,noon,60-70,Bhutan,771608.0,38100.0,20.0,http : //tinyurl.com/d8fgxr,3,1.0
d06cd08a66, no news on the kid. They can`t find the parent!,y can`t,negative,noon,60-70,Armenia,2963243.0,28470.0,104.0,news kid . ` find parent !,2,1.0
160a72570e,"When i say 'we close at 6', it does not mean 'come in at 6'. Ffs people. Also RIP Polly",RIP Polly,negative,noon,60-70,Armenia,2963243.0,28470.0,104.0,"say 'we close 6 ' , mean 'come 6 ' . ffs people . also rip polly",1,1.0
,,,,,,,,,,,5,3.0
65cbb266bf, my baby shut me down,,negative,night,70-100,Sierra Leone,7976983.0,72180.0,111.0,baby shut,2,1.0
83e3ba4eb8, lol   What are your plans for today (or should I say tomorrow) then ?,lol   What are your plans for today (or should I say tomorrow) then,neutral,morning,46-60,Democratic Republic of the Congo,89561403.0,2267050.0,40.0,lol plans today ( say tomorrow ) ?,3,3.0
10c55c13b8,really annoyed that work appear to have blocked facebook now...,,negative,morning,46-60,Afghanistan,38928346.0,652860.0,60.0,really annoyed work appear blocked facebook ...,1,2.0
cb8ff954c0,has a new nick name - arosh ..i like i like,,positive,noon,60-70,Holy See,801.0,0.0,2003.0,new nick name - arosh .. like like,4,4.0
c18377388a, sounds nice   have you downloaded twitterena 2.0 lol ?,sounds nice,positive,noon,21-30,Azerbaijan,10139177.0,82658.0,123.0,sounds nice downloaded twitterena 2.0 lol ?,5,3.0
ec15ab0760, oh ok  I guess next time then!,oh ok  I guess next time then!,neutral,morning,0-20,Mali,20250833.0,1220190.0,17.0,oh ok guess next time !,3,2.0
896922c1b8,_Escobar some people seem to be getting over it pretty quick  and the guys to me didn`t seem to care,some people seem to be getting over it pretty quick  and the guys to me didn`t seem to care,neutral,noon,60-70,Malaysia,32365999.0,328550.0,99.0,_escobar people seem getting pretty quick guys ` seem care,3,2.0
c0569cacaf, crossing my fingers for ya! & hey you`ll be on my side of town!  Welcome! LOL,Welcome!,positive,noon,60-70,Cameroon,26545863.0,472710.0,56.0,crossing fingers ya ! & hey ` side town ! welcome ! lol,5,3.0
e4437a4444, I`m in belleville at my parents and someone offered me a bus ride to orillia for 10$ at the mall. Thought of you,offered,positive,morning,46-60,Georgia,3989167.0,69490.0,57.0,` belleville parents someone offered bus ride orillia 10 $ mall . thought,4,2.0
e01d1357e6, Yes Hindustan Rocks dude! Dunia mein asay koi fusion nehi milegi,Rocks,positive,noon,60-70,Bangladesh,164689383.0,130170.0,1265.0,yes hindustan rocks dude ! dunia mein asay koi fusion nehi milegi,5,5.0
ea7bc30d23,"Killed a pigeon today  Thought it was going to move out the way of the car.. next thing I know, BANG feathers in the rear view mirror RIP","Killed a pigeon today  Thought it was going to move out the way of the car.. next thing I know, BANG feathers in the rear view mirror RIP",negative,morning,0-20,Palau,18094.0,460.0,39.0,"killed pigeon today thought going move way car .. next thing know , bang feathers rear view mirror rip",1,1.0
d2d4deeb43, not funny,not funny,negative,noon,21-30,Bangladesh,164689383.0,130170.0,1265.0,funny,2,5.0
c956722677,My room is too hot to sleep in.,,negative,noon,21-30,Guinea-Bissau,1968001.0,28120.0,70.0,room hot sleep .,1,1.0
f98a82bfa2," Even more so bc I drove their asses to Chandler, which is why I am just now getting home, an hour and a half later. LOL","Even more so bc I drove their asses to Chandler, which is why I am just now getting home, an hour and a half later. LOL",neutral,noon,60-70,Somalia,15893222.0,627340.0,25.0,"even bc drove asses chandler , getting home , hour half later . lol",3,1.0
6fbff71c0c," Oh, wow, you`re fast   How`s life going ? It`s been 6 months ya ? XD","Oh, wow, you`re fast",positive,night,70-100,"Eswatini (fmr. ""Swaziland"")",1160164.0,17200.0,67.0,"oh , wow , ` fast ` life going ? ` 6 months ya ? xd",4,2.0
2e205ce846,http://goingtorain.com/ - about as precise as any other weather report,precise,positive,night,70-100,Australia,25499884.0,7682300.0,3.0,http : //goingtorain.com/ - precise weather report,5,3.0
358258ce52,Walls of Jericho please come to WORCESTER asap! Candace pleeaassee! Why did Flee the Seen call it quits? whyyy?,Walls of Jericho please come to WORCESTER asap! Candace pleeaassee! Why did Flee the Seen call it quits? whyyy?,neutral,morning,46-60,United States of America,331002651.0,9147420.0,36.0,walls jericho please come worcester asap ! candace pleeaassee ! flee seen call quits ? whyyy ?,3,1.0
b7f7417fae,great party alenka!!  happy birthday chicky! <3,great party alenka!!  happy birthday chicky!,positive,morning,0-20,Ireland,4937786.0,68890.0,72.0,great party alenka ! ! happy birthday chicky ! < 3,5,5.0
b718f8e1ec,"ugh, i dont feel like going to work today","ugh,",negative,night,31-45,Peru,32971854.0,1280000.0,26.0,"ugh , dont feel like going work today",2,2.0
e8008ef169," no, sry, didn`t feel well at all. but there`ll be another change I believe  hope FFK09 was fun with lots of inspiring input.","no, sry, didn`t feel well at all.",negative,morning,0-20,Liberia,5057681.0,96320.0,53.0,", sry , ` feel well . ` another change believe hope ffk09 fun lots inspiring input .",2,3.0
3099b7261b,looking for people,,neutral,night,31-45,Sierra Leone,7976983.0,72180.0,111.0,looking people,3,3.0
580b5a19f4,"Well, my aunts dog died. I understand how devastated she is. I`ll probably head over there soon for support","Well, my aunts dog died. I understand how devastated she is. I`ll probably head over there soon for support",negative,morning,0-20,France,65273511.0,547557.0,119.0,"well , aunts dog died . understand devastated . ` probably head soon support",2,2.0
e21b9b8fd9,starting off my day with a little Northern Light,starting off my day with a little Northern Light,neutral,morning,46-60,United States of America,331002651.0,9147420.0,36.0,starting day little northern light,3,3.0
8253ec3a01,"just woke up, and my tummy hurts  there`s always something wrong with me :S",hurts,negative,night,31-45,Bolivia,11673021.0,1083300.0,11.0,"woke , tummy hurts ` always something wrong :",1,2.0
e5fa38b19e, next time? I might not get there this time if the bus has anything to do with it,next time? I might not get there this time if the bus has anything to do with it,neutral,night,70-100,Guyana,786552.0,196850.0,4.0,next time ? might get time bus anything,3,2.0
4ffe417848, good day sir. I`m hungry!,good,positive,morning,46-60,Egypt,102334404.0,995450.0,103.0,good day sir . ` hungry !,5,2.0
a213754ad1,_cali Good morning,Good morning,positive,morning,0-20,Yemen,29825964.0,527970.0,56.0,_cali good morning,4,5.0
bd2b4a032d,"on my 42nd written ****.. i get less ideas every day, and every day","i get less ideas every day, and every day",negative,noon,60-70,Myanmar (formerly Burma),54409800.0,653290.0,83.0,"42nd written * * * * .. get less ideas every day , every day",2,2.0
723e475838," Yeah I just accepted UBC`s offer last night, but I dunno if I`ll still make it in because I`ve been slacking off a lot lately.",slacking,negative,morning,0-20,Sri Lanka,21413249.0,62710.0,341.0,"yeah accepted ubc ` offer last night , dunno ` still make ` slacking lot lately .",2,2.0
4f0dba2758,Field day is sad. No ribbons for me.,Field day is sad.,negative,night,31-45,Liechtenstein,38128.0,160.0,238.0,field day sad . ribbons .,2,1.0
866c94268f,best show of my life. mcfly rocks my world  i wanna meet you guys ;;,best show,positive,night,70-100,Laos,7275560.0,230800.0,32.0,best show life . mcfly rocks world wan na meet guys ; ;,4,5.0
67f825d150," hey kellie,how are u?I FEEL HORRIBLE!","hey kellie,how are u?I FEEL HORRIBLE!",negative,noon,21-30,Mauritius,1271768.0,2030.0,626.0,"hey kellie , u ? feel horrible !",2,1.0
17a362db4b,i can`t believe my little brother is married...,i can`t believe my little brother is married...,neutral,noon,60-70,Iceland,341243.0,100250.0,3.0,` believe little brother married ...,3,3.0
2a16e5e638,wishing I got fij,wishing I got fij,positive,noon,21-30,Lebanon,6825445.0,10230.0,667.0,wishing got fij,5,1.0
4e93939f99,??? weekend standby duty??????????????????????????????????????????????????,weekend standby duty??,neutral,noon,60-70,Libya,6871292.0,1759540.0,4.0,? ? ? weekend standby duty ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?,3,2.0
1445716af3, whoa... if the alcohol won`t get you buzzed... the price will,whoa... if the alcohol won`t get you buzzed... the price will,negative,morning,0-20,Guinea,13132795.0,246000.0,53.0,whoa ... alcohol ` get buzzed ... price,2,2.0
a6d5872815," Oh, that`s bringing back fond memories... I WANT to, but I can`t leave the kittens! (I sent you another pic of Balloon)","Oh, that`s bringing back fond memories... I WANT to, but I can`t leave the kittens! (I sent you another pic of Balloon)",neutral,night,31-45,Ghana,31072940.0,227540.0,137.0,"oh , ` bringing back fond memories ... want , ` leave kittens ! ( sent another pic balloon )",3,4.0
676b733c57,Buying pretty shiny beads and things  I feel quite girlish. http://elisem.livejournal.com/1473318.html,,neutral,night,70-100,"Eswatini (fmr. ""Swaziland"")",1160164.0,17200.0,67.0,buying pretty shiny beads things feel quite girlish . http : //elisem.livejournal.com/1473318.html,3,3.0
92e19f588b," no I was trying to interview Dr Paul Twomey, CEO of ICANN. Phone issues cut the interview from 30 mins to 15.",. Phone issues,negative,noon,60-70,Israel,8655535.0,21640.0,400.0,"trying interview dr paul twomey , ceo icann . phone issues cut interview 30 mins 15 .",1,2.0
244f0d6f3e,"2,697 views on my FLickr Account.. Maybe is not much for you...  but I`m happy  ... YAY http://www.flickr.com/photos/bonassin/",t I`m happy  ... YAY,positive,noon,60-70,Tunisia,11818619.0,155360.0,76.0,"2,697 views flickr account .. maybe much ... ` happy ... yay http : //www.flickr.com/photos/bonassin/",5,4.0
60aada6ba3,i am leaving soon for Kansas City to take some of my stuff. Only 8 days of living in Carthage left.,i am leaving soon for Kansas City to take some of my stuff. Only 8 days of living in Carthage left.,neutral,noon,21-30,Tanzania,59734218.0,885800.0,67.0,leaving soon kansas city take stuff . 8 days living carthage left .,3,2.0
32a34847dc,  is all mine  #twpp #shadez,,neutral,night,70-100,Syria,17500658.0,183630.0,95.0,mine # twpp # shadez,3,2.0
527877de07,VERY upset....  Mom is in the hospital,upset..,negative,morning,0-20,Mozambique,31255435.0,786380.0,40.0,upset .... mom hospital,1,1.0
53f02b5eb2,I just had a horrible dream.,I just had a horrible dream.,negative,night,31-45,Guyana,786552.0,196850.0,4.0,horrible dream .,2,1.0
0b4a2b2eb1,I hve a blister on my pinky nd it hurts soooo much!,,negative,night,31-45,Burkina Faso,20903273.0,273600.0,76.0,hve blister pinky nd hurts soooo much !,1,1.0
5.06E+15,I feel like poop. I hate being sick,I feel like poop. I hate being sick,negative,morning,0-20,Central African Republic,4829767.0,622980.0,8.0,feel like poop . hate sick,2,1.0
23a12ae226, Have a great weekend Mononoke  I may be tweeting from inside the movie theater either Monday or Tuesday  lol,great,positive,morning,46-60,Ethiopia,114963588.0,1000000.0,115.0,great weekend mononoke may tweeting inside movie theater either monday tuesday lol,4,4.0
f2234c86f9, Do you have a facebook page? If not I`ll email you pictures of my bangs. If you don`t like them I`ll blame the kitties.,If you don`t like them I`ll blame the kitties.,negative,morning,46-60,Austria,9006398.0,82400.0,109.0,facebook page ? ` email pictures bangs . ` like ` blame kitties .,1,1.0
0e2ad201ce,Having first beer in over 8 days what has happened to me and Im only having it cause Miss 8 wanted to get me one for mothers day.,what has happened to me,negative,night,70-100,North Macedonia,2083374.0,25220.0,83.0,first beer 8 days happened im cause miss 8 wanted get one mothers day .,1,1.0
653104654e," ooooo,  an explanation?, Thank god for that or u would forever be wondering!..I love a good night mare tho!!",I love,positive,night,70-100,Comoros,869601.0,1861.0,467.0,"ooooo , explanation ? , thank god u would forever wondering ! .. love good night mare tho ! !",5,2.0
a92e8ab2a1, --Nothing,,neutral,night,31-45,Zimbabwe,14862924.0,386850.0,38.0,-- nothing,3,1.0
df1f980d8e," take it. mmm, definitely.","take it. mmm, definitely.",neutral,morning,46-60,Mongolia,3278290.0,1553560.0,2.0,"take . mmm , definitely .",3,3.0
e79ee39957,"aww, anyone see hollie steel on BGT tonight? wharra shame","aww, anyone see hollie steel on BGT tonight? wharra shame",negative,night,70-100,Monaco,39242.0,1.0,26337.0,"aww , anyone see hollie steel bgt tonight ? wharra shame",2,3.0
3c0707161c, time to leave a passive agressive note to the owners.  It`s not the dog`s fault... it`s their **** owners,time to leave a passive agressive note to the owners.  It`s not the dog`s fault... it`s their **** owne,negative,night,70-100,Sierra Leone,7976983.0,72180.0,111.0,time leave passive agressive note owners . ` dog ` fault ... ` * * * * owners,1,1.0
7ba102ebb3, I`m glad  you def needed a pick me up!  drama free!,glad,positive,night,70-100,Ghana,31072940.0,227540.0,137.0,` glad def needed pick ! drama free !,5,5.0
,,,,,,,,,,,4,3.0
5eea04087b,"Sitting here, waiting to go to the gym.....almost left, then realized I never charged my iPod from my trip to Wisconsin....it`s dead",,neutral,noon,60-70,Oman,5106626.0,309500.0,16.0,"sitting , waiting go gym ..... almost left , realized never charged ipod trip wisconsin .... ` dead",3,2.0
40bd163bda,today is going to be a long day,today is going to be a long day,neutral,noon,21-30,Romania,19237691.0,230170.0,84.0,today going long day,3,3.0
f9182af73a, 2ND BREAKFAST !? I want more food =/ LOL. Tweet me what breakfast you`re having  LOOOOOOLDING`,=/ LOL.,positive,night,31-45,Belize,397628.0,22810.0,17.0,2nd breakfast ! ? want food =/ lol . tweet breakfast ` loooooolding `,5,3.0
71e2b51b23, unfortunately I am stuck at work so I can`t get said prize,unfortunately I am stuck at work,negative,morning,0-20,Ethiopia,114963588.0,1000000.0,115.0,unfortunately stuck work ` get said prize,1,2.0
,,,,,,,,,,,4,3.0
7603581410,"Last night, bad guys tried to enter in my garden . I was alone and I really got scared. Now, i feel really stupid. NOT FUNNY",scared.,negative,morning,46-60,Ireland,4937786.0,68890.0,72.0,"last night , bad guys tried enter garden . alone really got scared . , feel really stupid . funny",2,2.0
e4e2d95d44,Sunrise by Blvd East is awesome. Now to get some sleep. YAY!!,awesome.,positive,night,70-100,Mexico,128932753.0,1943950.0,66.0,sunrise blvd east awesome . get sleep . yay ! !,5,5.0
cad70bf44a, Poor you   If I was with you right now; I would probably give you a hug ;D,Poor you   If I was with you right now; I would probably give you a hug,neutral,morning,46-60,Lithuania,2722289.0,62700.0,43.0,poor right ; would probably give hug ;,3,2.0
142108215, Thank you so much phaoloo !!!!,,positive,noon,21-30,Oman,5106626.0,309500.0,16.0,thank much phaoloo ! ! ! !,4,5.0
8b98227591,"Work, work, work. Finally not sick, though.","not sick,",positive,noon,21-30,Guinea-Bissau,1968001.0,28120.0,70.0,"work , work , work . finally sick , though .",4,2.0
20021de78f, thank you for your comment,thank,positive,morning,0-20,Mali,20250833.0,1220190.0,17.0,thank comment,4,3.0
a1f3adf7ea,Talking to my best mate and my boyfriend on msn,Talking to my best mate and my boyfriend on msn,neutral,morning,46-60,Kuwait,4270571.0,17820.0,240.0,talking best mate boyfriend msn,3,2.0
8cbb0f4bc1, hi Lyndon - if you get this before 4pm Monday 11 May - i have mail for you from  via Tasmania. DM me,hi Lyndon - if you get this before 4pm Monday 11 May - i have mail for you from  via Tasmania. DM me,neutral,noon,21-30,Armenia,2963243.0,28470.0,104.0,hi lyndon - get 4pm monday 11 may - mail via tasmania . dm,3,3.0
,,,,,,,,,,,4,3.0
04ed4760c0,"I spent my whole dream cooking a delicious meal, but I woke up before I got to try it","I spent my whole dream cooking a delicious meal, but I woke up before I got to try it",neutral,night,70-100,India,1380004385.0,2973190.0,464.0,"spent whole dream cooking delicious meal , woke got try",3,4.0
6712b0174e,I want a new lappy,I want a new lappy,neutral,noon,60-70,Seychelles,98347.0,460.0,214.0,want new lappy,3,3.0
7d2813010c, im probs gonna have to wait until it comes out on dvd  x,im probs gonna have to wait until it comes out on dvd  x,neutral,noon,21-30,Tunisia,11818619.0,155360.0,76.0,im probs gon na wait comes dvd x,3,2.0
c481433b33, hm... i don`t I can recommend any white chocolates though.. you have to move to the `dark` side first..,hm... i don`t I can recommend any white chocolates though.. you have to move to the `dark` side first..,neutral,night,70-100,Guyana,786552.0,196850.0,4.0,hm ... ` recommend white chocolates though .. move ` dark ` side first ..,3,2.0
f106cb10b4,sittin by the fire...yes!,sittin by the fire...yes!,neutral,morning,46-60,Norway,5421241.0,365000.0,15.0,sittin fire ... yes !,3,4.0
,,,,,,,,,,,4,3.0
84d607545c,Stupid hand. Have A2 and flop nut low and top pair. But guy had also out low and out flush. Quartered.  at 5900.,Stupid,negative,night,31-45,Jordan,10203134.0,88780.0,115.0,stupid hand . a2 flop nut low top pair . guy also low flush . quartered . 5900 .,2,2.0
491eed2fe4,Experimenting.  With puppet again. I think I just wiped my drive on my workstation,Experimenting.  With puppet again. I think I just wiped my drive on my workstation,neutral,night,70-100,Syria,17500658.0,183630.0,95.0,experimenting . puppet . think wiped drive workstation,3,2.0
3eeda08527,Week-end is over and now it`s time to get back to work,Week-end is over and now it`s time to get back to work,neutral,night,70-100,Iraq,40222493.0,434320.0,93.0,week-end ` time get back work,3,2.0
65de26bf43,i`m going to pig out on ice cream and potato chips,i`m going to pig out on ice cream and potato chips,neutral,noon,21-30,Libya,6871292.0,1759540.0,4.0,` going pig ice cream potato chips,3,2.0
7c4d129387,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,neutral,morning,46-60,Central African Republic,4829767.0,622980.0,8.0,mix dentist appt afternoon . rescheduled tomorrow @ 9am .,3,3.0
77a183021d, i miss you too,i miss you too,negative,morning,46-60,Papua New Guinea,8947024.0,452860.0,20.0,miss,1,3.0
,,,,,,,,,,,4,3.0
6cf8389b4a, The sweety sat on the table this morning...Just woke up! Very sweet! Oh...btw...I think i`ll be home around 7 pm!!!  ****,! Very sweet!,positive,morning,0-20,Jamaica,2961167.0,10830.0,273.0,sweety sat table morning ... woke ! sweet ! oh ... btw ... think ` home around 7 pm ! ! ! * * * *,4,4.0
898d06563e, oh no.  hope you feel better soon. Hugs. I had flu earlier this month.,hope,positive,morning,0-20,China,1439323776.0,9388211.0,153.0,oh . hope feel better soon . hugs . flu earlier month .,5,4.0
1e32b7806f,Good Morning Tweeties,Good,positive,morning,46-60,Tajikistan,9537645.0,139960.0,68.0,good morning tweeties,4,5.0
c8b25bc79f, Something like that!,Something like that!,neutral,night,70-100,Bahamas,393244.0,10010.0,39.0,something like !,3,3.0
71e07902af,sad that she didn`t get to see Rica before she leaves later today..,sad,negative,night,70-100,Kiribati,119449.0,810.0,147.0,sad ` get see rica leaves later today ..,1,1.0
2f64d9697c, nice new profile picture! Glad to see some friends in there,nice new profile picture! Glad to see some friends in there,positive,noon,21-30,Chad,16425864.0,1259200.0,13.0,nice new profile picture ! glad see friends,4,5.0
ad934e65f0,I think I might like Twiterfon better than Tweetie now. Recent upgrades from Twiterfon have been great! None from Tweetie,great!,positive,noon,60-70,Botswana,2351627.0,566730.0,4.0,think might like twiterfon better tweetie . recent upgrades twiterfon great ! none tweetie,5,3.0
